"","x","age","workclass","education","educational.num","marital.status","race","gender","hours.per.week","income"
"46627",46627,23,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"32416",32416,71,"Private","Masters",14,"Never-married","White","Female",20,"<=50K"
"29709",29709,44,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"28779",28779,28,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","White","Male",55,"<=50K"
"1594",1594,54,"?","Doctorate",16,"Married-spouse-absent","Asian-Pac-Islander","Male",20,"<=50K"
"32792",32792,33,"State-gov","HS-grad",9,"Married-civ-spouse","White","Male",37,"<=50K"
"24320",24320,44,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","White","Male",90,"<=50K"
"15105",15105,43,"Private","1st-4th",2,"Never-married","White","Female",30,"<=50K"
"43628",43628,41,"Private","Masters",14,"Married-civ-spouse","White","Male",45,"<=50K"
"42972",42972,48,"Private","HS-grad",9,"Married-civ-spouse","White","Male",44,"<=50K"
"18295",18295,27,"Local-gov","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"15519",15519,19,"Private","11th",7,"Never-married","White","Male",16,"<=50K"
"22899",22899,43,"Private","Some-college",10,"Separated","White","Female",10,"<=50K"
"11726",11726,52,"Private","Some-college",10,"Married-civ-spouse","White","Male",36,">50K"
"10056",10056,71,"Private","Some-college",10,"Married-civ-spouse","White","Male",4,"<=50K"
"7722",7722,55,"Self-emp-not-inc","Assoc-voc",11,"Married-civ-spouse","White","Female",42,"<=50K"
"5932",5932,22,"Private","Some-college",10,"Never-married","White","Female",36,"<=50K"
"31676",31676,47,"Private","Bachelors",13,"Married-civ-spouse","White","Male",45,">50K"
"46844",46844,43,"Private","Bachelors",13,"Divorced","White","Female",40,"<=50K"
"22057",22057,37,"Private","Some-college",10,"Divorced","Amer-Indian-Eskimo","Female",40,"<=50K"
"914",914,19,"?","HS-grad",9,"Never-married","White","Female",30,"<=50K"
"19092",19092,53,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",50,"<=50K"
"44037",44037,29,"Private","Bachelors",13,"Never-married","White","Female",45,"<=50K"
"23825",23825,41,"Local-gov","Masters",14,"Divorced","White","Female",36,">50K"
"10601",10601,44,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Female",50,"<=50K"
"41365",41365,38,"Private","Some-college",10,"Never-married","White","Male",50,"<=50K"
"36141",36141,34,"Private","Bachelors",13,"Married-civ-spouse","White","Male",30,">50K"
"29708",29708,26,"Private","Assoc-voc",11,"Married-civ-spouse","White","Female",40,">50K"
"37813",37813,32,"Private","Some-college",10,"Married-civ-spouse","Other","Female",40,"<=50K"
"31094",31094,52,"Self-emp-not-inc","10th",6,"Married-civ-spouse","White","Male",35,"<=50K"
"22745",22745,47,"Private","10th",6,"Married-civ-spouse","White","Male",65,"<=50K"
"5365",5365,33,"Private","HS-grad",9,"Never-married","Black","Male",40,"<=50K"
"3543",3543,29,"Private","11th",7,"Separated","Black","Female",40,"<=50K"
"4660",4660,54,"Local-gov","Masters",14,"Divorced","Black","Female",37,">50K"
"9824",9824,46,"Private","HS-grad",9,"Divorced","Black","Male",40,"<=50K"
"19849",19849,57,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"6422",6422,31,"Private","Prof-school",15,"Never-married","White","Male",50,"<=50K"
"24413",24413,34,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"8181",8181,24,"Private","HS-grad",9,"Never-married","White","Male",44,"<=50K"
"19351",19351,48,"Private","11th",7,"Divorced","Black","Female",40,"<=50K"
"34534",34534,29,"Private","Assoc-acdm",12,"Married-civ-spouse","Other","Female",45,">50K"
"9740",9740,19,"Private","Some-college",10,"Never-married","Asian-Pac-Islander","Male",40,"<=50K"
"2139",2139,28,"Private","5th-6th",3,"Never-married","Black","Male",40,"<=50K"
"18834",18834,51,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"23858",23858,40,"?","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"2989",2989,42,"Private","Bachelors",13,"Divorced","White","Male",45,"<=50K"
"38834",38834,21,"Private","Some-college",10,"Never-married","White","Male",40,"<=50K"
"12239",12239,32,"State-gov","Assoc-voc",11,"Divorced","White","Female",43,"<=50K"
"3099",3099,42,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"44912",44912,17,"Private","Some-college",10,"Never-married","White","Male",16,"<=50K"
"38195",38195,38,"Private","11th",7,"Divorced","Black","Female",52,"<=50K"
"22499",22499,55,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",45,">50K"
"6858",6858,48,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"19700",19700,46,"State-gov","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"7344",7344,32,"Private","HS-grad",9,"Separated","White","Male",55,"<=50K"
"1794",1794,32,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"6524",6524,48,"Private","Bachelors",13,"Married-civ-spouse","White","Male",80,">50K"
"47453",47453,28,"Private","Some-college",10,"Married-civ-spouse","White","Male",50,">50K"
"38735",38735,24,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"19228",19228,31,"Private","Preschool",1,"Never-married","White","Female",35,"<=50K"
"249",249,47,"Private","HS-grad",9,"Married-civ-spouse","White","Male",70,">50K"
"18609",18609,25,"?","Bachelors",13,"Married-spouse-absent","White","Male",40,"<=50K"
"13107",13107,34,"State-gov","HS-grad",9,"Married-civ-spouse","White","Male",65,"<=50K"
"35400",35400,44,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"38025",38025,35,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"11229",11229,48,"Private","Some-college",10,"Married-civ-spouse","White","Male",45,"<=50K"
"23430",23430,45,"Private","Some-college",10,"Divorced","White","Male",50,"<=50K"
"28386",28386,38,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"3362",3362,29,"Private","Some-college",10,"Never-married","White","Male",35,"<=50K"
"14573",14573,31,"Private","Bachelors",13,"Married-spouse-absent","Asian-Pac-Islander","Male",40,"<=50K"
"33109",33109,23,"?","Assoc-acdm",12,"Never-married","White","Male",20,"<=50K"
"33480",33480,59,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"35634",35634,23,"Private","Assoc-acdm",12,"Married-civ-spouse","White","Female",40,"<=50K"
"7382",7382,35,"Private","Some-college",10,"Married-civ-spouse","White","Male",60,">50K"
"39807",39807,41,"Private","Some-college",10,"Never-married","Black","Male",43,"<=50K"
"47757",47757,64,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"43286",43286,32,"State-gov","Masters",14,"Never-married","White","Female",38,"<=50K"
"40050",40050,34,"Private","Masters",14,"Married-civ-spouse","White","Male",40,"<=50K"
"29951",29951,42,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,">50K"
"2713",2713,21,"Private","Some-college",10,"Never-married","White","Female",25,"<=50K"
"43025",43025,37,"Private","5th-6th",3,"Never-married","White","Female",40,"<=50K"
"19289",19289,49,"Private","Some-college",10,"Divorced","White","Male",35,"<=50K"
"22131",22131,19,"Private","Some-college",10,"Never-married","White","Male",24,"<=50K"
"22208",22208,42,"Private","Masters",14,"Divorced","White","Male",40,"<=50K"
"27361",27361,35,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"28705",28705,26,"Self-emp-inc","HS-grad",9,"Separated","White","Female",20,"<=50K"
"30774",30774,22,"Private","HS-grad",9,"Never-married","White","Female",20,"<=50K"
"47989",47989,35,"Self-emp-not-inc","Assoc-voc",11,"Never-married","White","Male",65,"<=50K"
"545",545,45,"Private","Bachelors",13,"Married-civ-spouse","White","Male",45,">50K"
"25696",25696,62,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"36981",36981,34,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"32352",32352,29,"Private","HS-grad",9,"Never-married","White","Male",16,"<=50K"
"42279",42279,38,"Private","HS-grad",9,"Married-civ-spouse","White","Female",36,">50K"
"40817",40817,17,"Private","11th",7,"Never-married","White","Male",15,"<=50K"
"36914",36914,33,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"6517",6517,43,"Federal-gov","HS-grad",9,"Married-civ-spouse","White","Male",55,">50K"
"4036",4036,25,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"34089",34089,21,"Local-gov","Some-college",10,"Never-married","White","Male",20,"<=50K"
"32325",32325,25,"Private","Assoc-acdm",12,"Never-married","White","Female",40,"<=50K"
"35459",35459,23,"Private","Assoc-acdm",12,"Married-civ-spouse","White","Female",25,"<=50K"
"45282",45282,28,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"6067",6067,37,"Private","HS-grad",9,"Never-married","White","Male",38,"<=50K"
"13216",13216,24,"Private","HS-grad",9,"Never-married","Amer-Indian-Eskimo","Female",40,"<=50K"
"42030",42030,21,"?","Some-college",10,"Never-married","White","Male",35,"<=50K"
"27212",27212,59,"Private","10th",6,"Married-civ-spouse","White","Male",40,"<=50K"
"22084",22084,42,"Private","Assoc-acdm",12,"Divorced","White","Female",45,"<=50K"
"1701",1701,22,"?","Some-college",10,"Married-civ-spouse","White","Female",30,"<=50K"
"5308",5308,75,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"23005",23005,31,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"7557",7557,22,"Private","Some-college",10,"Never-married","White","Female",30,"<=50K"
"7541",7541,78,"Self-emp-not-inc","HS-grad",9,"Widowed","White","Male",24,"<=50K"
"31168",31168,24,"Private","Some-college",10,"Never-married","White","Male",40,"<=50K"
"7604",7604,38,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"10771",10771,42,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",50,"<=50K"
"19592",19592,36,"Private","Some-college",10,"Never-married","White","Female",35,"<=50K"
"29631",29631,56,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"6933",6933,17,"Private","12th",8,"Never-married","White","Male",18,"<=50K"
"46651",46651,20,"?","Some-college",10,"Never-married","White","Female",18,"<=50K"
"35237",35237,37,"Self-emp-not-inc","Bachelors",13,"Married-civ-spouse","White","Male",65,">50K"
"47002",47002,52,"Private","HS-grad",9,"Widowed","White","Male",40,"<=50K"
"12951",12951,31,"Private","Assoc-acdm",12,"Married-civ-spouse","White","Male",40,"<=50K"
"10113",10113,44,"Private","HS-grad",9,"Divorced","White","Female",50,"<=50K"
"31866",31866,33,"?","Assoc-voc",11,"Divorced","White","Female",40,"<=50K"
"35613",35613,23,"Local-gov","Some-college",10,"Never-married","White","Female",20,"<=50K"
"7725",7725,44,"?","Some-college",10,"Never-married","White","Male",45,"<=50K"
"29171",29171,33,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",40,">50K"
"42889",42889,23,"Private","Bachelors",13,"Married-civ-spouse","White","Female",40,"<=50K"
"36014",36014,24,"Private","Masters",14,"Never-married","White","Male",56,"<=50K"
"1181",1181,64,"Federal-gov","Some-college",10,"Widowed","White","Female",25,"<=50K"
"45553",45553,35,"Private","Some-college",10,"Married-civ-spouse","White","Male",50,"<=50K"
"10270",10270,51,"Federal-gov","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"48102",48102,39,"Private","9th",5,"Married-civ-spouse","White","Male",40,"<=50K"
"38132",38132,53,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"11678",11678,47,"Private","Preschool",1,"Never-married","Black","Female",40,"<=50K"
"25579",25579,47,"Private","Some-college",10,"Divorced","White","Female",36,"<=50K"
"37612",37612,33,"Private","Some-college",10,"Never-married","White","Male",49,"<=50K"
"26431",26431,42,"Private","Bachelors",13,"Married-civ-spouse","White","Female",40,"<=50K"
"31874",31874,51,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"47031",47031,41,"Self-emp-not-inc","Assoc-acdm",12,"Married-civ-spouse","White","Male",40,">50K"
"40208",40208,59,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"44320",44320,32,"Private","Assoc-voc",11,"Divorced","White","Female",50,"<=50K"
"24680",24680,28,"Private","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"19743",19743,55,"Private","7th-8th",4,"Widowed","White","Female",20,"<=50K"
"38660",38660,44,"?","7th-8th",4,"Married-civ-spouse","White","Male",25,"<=50K"
"1918",1918,41,"Private","Bachelors",13,"Divorced","Asian-Pac-Islander","Female",40,"<=50K"
"17946",17946,44,"Private","HS-grad",9,"Married-civ-spouse","Black","Male",40,"<=50K"
"46181",46181,42,"Federal-gov","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"27780",27780,33,"Private","Bachelors",13,"Married-civ-spouse","White","Male",42,"<=50K"
"21772",21772,62,"Self-emp-inc","Masters",14,"Married-civ-spouse","White","Male",45,">50K"
"21030",21030,51,"Private","Assoc-acdm",12,"Divorced","White","Male",55,"<=50K"
"4402",4402,21,"Private","HS-grad",9,"Never-married","Asian-Pac-Islander","Male",40,"<=50K"
"39323",39323,34,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"19471",19471,43,"Self-emp-inc","Some-college",10,"Married-civ-spouse","White","Male",50,"<=50K"
"12437",12437,30,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"45331",45331,34,"Private","7th-8th",4,"Married-civ-spouse","White","Male",40,"<=50K"
"25",25,25,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"12046",12046,24,"Private","Bachelors",13,"Married-spouse-absent","Black","Female",20,"<=50K"
"42581",42581,18,"Private","12th",8,"Never-married","White","Male",20,"<=50K"
"22423",22423,54,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"47486",47486,44,"Local-gov","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"7653",7653,53,"Private","Some-college",10,"Married-civ-spouse","White","Male",45,">50K"
"11697",11697,54,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"3073",3073,29,"Private","HS-grad",9,"Divorced","White","Female",30,"<=50K"
"30353",30353,37,"Private","Some-college",10,"Married-civ-spouse","White","Male",50,"<=50K"
"21057",21057,36,"Self-emp-not-inc","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"8193",8193,21,"Private","HS-grad",9,"Never-married","White","Male",50,"<=50K"
"13319",13319,32,"Private","Bachelors",13,"Married-civ-spouse","Asian-Pac-Islander","Male",45,"<=50K"
"16912",16912,47,"Self-emp-not-inc","Some-college",10,"Never-married","Black","Female",40,"<=50K"
"12530",12530,38,"Private","Assoc-acdm",12,"Never-married","White","Female",45,"<=50K"
"42343",42343,22,"Private","12th",8,"Never-married","White","Male",30,"<=50K"
"33585",33585,24,"Private","11th",7,"Never-married","White","Male",40,"<=50K"
"14384",14384,43,"Private","Some-college",10,"Married-civ-spouse","White","Male",45,">50K"
"43318",43318,17,"Private","10th",6,"Never-married","White","Male",30,"<=50K"
"3929",3929,42,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"36068",36068,47,"?","Bachelors",13,"Married-civ-spouse","White","Male",18,"<=50K"
"26093",26093,28,"Private","Prof-school",15,"Married-civ-spouse","Asian-Pac-Islander","Male",99,"<=50K"
"23676",23676,20,"Private","HS-grad",9,"Married-civ-spouse","White","Male",35,"<=50K"
"48688",48688,20,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"16181",16181,27,"Private","Masters",14,"Married-civ-spouse","White","Female",20,">50K"
"5939",5939,53,"Private","Bachelors",13,"Married-civ-spouse","Asian-Pac-Islander","Male",40,">50K"
"31148",31148,38,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"36817",36817,35,"Local-gov","HS-grad",9,"Married-civ-spouse","Black","Male",35,">50K"
"39443",39443,35,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"46179",46179,19,"Private","10th",6,"Never-married","White","Male",25,"<=50K"
"40788",40788,21,"Private","Some-college",10,"Never-married","White","Female",30,"<=50K"
"11347",11347,45,"Private","HS-grad",9,"Divorced","White","Female",32,"<=50K"
"43408",43408,47,"Local-gov","Some-college",10,"Divorced","White","Female",33,"<=50K"
"47644",47644,19,"Private","HS-grad",9,"Never-married","White","Male",38,"<=50K"
"22398",22398,56,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"37169",37169,24,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"13535",13535,32,"Private","Some-college",10,"Never-married","White","Male",40,"<=50K"
"45524",45524,49,"Self-emp-inc","Bachelors",13,"Married-civ-spouse","White","Male",50,"<=50K"
"36470",36470,57,"Private","HS-grad",9,"Widowed","White","Female",57,"<=50K"
"46067",46067,28,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"14505",14505,22,"?","Some-college",10,"Never-married","White","Female",35,"<=50K"
"21257",21257,29,"Private","HS-grad",9,"Married-civ-spouse","White","Male",45,"<=50K"
"14611",14611,32,"Private","Bachelors",13,"Never-married","White","Male",45,"<=50K"
"17644",17644,22,"Private","HS-grad",9,"Never-married","White","Female",24,"<=50K"
"33192",33192,29,"Self-emp-inc","Doctorate",16,"Married-civ-spouse","White","Male",35,">50K"
"29547",29547,43,"Private","HS-grad",9,"Married-civ-spouse","White","Male",42,">50K"
"13584",13584,39,"Private","HS-grad",9,"Married-civ-spouse","Black","Male",45,">50K"
"40364",40364,49,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"6885",6885,36,"?","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"30721",30721,28,"Private","11th",7,"Married-civ-spouse","White","Male",50,"<=50K"
"3635",3635,32,"Private","HS-grad",9,"Never-married","Black","Female",40,"<=50K"
"2223",2223,61,"Self-emp-inc","Prof-school",15,"Married-civ-spouse","White","Male",40,">50K"
"19680",19680,34,"Private","Bachelors",13,"Married-civ-spouse","White","Male",50,">50K"
"46225",46225,23,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"10448",10448,29,"Private","Bachelors",13,"Never-married","Asian-Pac-Islander","Male",1,"<=50K"
"31312",31312,32,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"7591",7591,33,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",99,"<=50K"
"17675",17675,19,"Federal-gov","HS-grad",9,"Never-married","Black","Female",40,"<=50K"
"13172",13172,58,"Private","HS-grad",9,"Married-civ-spouse","White","Male",45,"<=50K"
"32805",32805,79,"?","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"12757",12757,23,"Private","Some-college",10,"Never-married","White","Male",30,"<=50K"
"25838",25838,44,"Private","Masters",14,"Separated","White","Female",48,"<=50K"
"24323",24323,32,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"29275",29275,28,"Private","Assoc-voc",11,"Married-civ-spouse","White","Female",40,"<=50K"
"37052",37052,33,"Private","HS-grad",9,"Married-civ-spouse","White","Male",55,"<=50K"
"20735",20735,25,"Private","HS-grad",9,"Married-civ-spouse","White","Female",30,"<=50K"
"16439",16439,71,"Self-emp-not-inc","Some-college",10,"Separated","Black","Male",2,"<=50K"
"5991",5991,62,"?","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"34125",34125,57,"Local-gov","Bachelors",13,"Married-civ-spouse","White","Male",45,"<=50K"
"32838",32838,63,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",20,"<=50K"
"40858",40858,52,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",95,">50K"
"30867",30867,22,"Private","Some-college",10,"Never-married","White","Male",16,"<=50K"
"14079",14079,33,"Private","Bachelors",13,"Never-married","White","Male",46,"<=50K"
"21577",21577,30,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"6657",6657,18,"Private","11th",7,"Never-married","Black","Female",20,"<=50K"
"39872",39872,61,"Self-emp-inc","Doctorate",16,"Married-civ-spouse","Asian-Pac-Islander","Male",40,">50K"
"44746",44746,37,"Local-gov","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"22523",22523,33,"Private","Assoc-acdm",12,"Married-spouse-absent","White","Female",40,"<=50K"
"48073",48073,46,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"21923",21923,40,"Private","HS-grad",9,"Married-civ-spouse","White","Male",30,"<=50K"
"12917",12917,49,"Private","Assoc-acdm",12,"Married-civ-spouse","White","Female",38,"<=50K"
"8271",8271,25,"Private","HS-grad",9,"Never-married","White","Female",35,"<=50K"
"33358",33358,37,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"10892",10892,62,"?","HS-grad",9,"Married-civ-spouse","White","Female",40,"<=50K"
"17395",17395,69,"Private","HS-grad",9,"Married-civ-spouse","White","Female",40,"<=50K"
"8647",8647,57,"Private","Assoc-voc",11,"Divorced","White","Female",50,"<=50K"
"43320",43320,22,"?","HS-grad",9,"Never-married","White","Female",45,"<=50K"
"44813",44813,24,"Private","Some-college",10,"Never-married","White","Male",40,"<=50K"
"25288",25288,25,"Private","10th",6,"Never-married","White","Male",40,"<=50K"
"40431",40431,21,"?","Some-college",10,"Never-married","White","Male",20,"<=50K"
"44927",44927,56,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",40,">50K"
"46364",46364,62,"Local-gov","HS-grad",9,"Widowed","White","Female",38,"<=50K"
"16118",16118,21,"?","Some-college",10,"Never-married","White","Female",52,"<=50K"
"19022",19022,38,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"48725",48725,18,"Private","HS-grad",9,"Never-married","White","Female",20,"<=50K"
"1033",1033,63,"Private","Some-college",10,"Married-civ-spouse","White","Male",38,"<=50K"
"3058",3058,33,"Private","Bachelors",13,"Divorced","White","Female",40,"<=50K"
"44190",44190,61,"Private","7th-8th",4,"Married-civ-spouse","White","Male",40,">50K"
"26014",26014,49,"Private","Bachelors",13,"Married-civ-spouse","White","Male",44,"<=50K"
"30513",30513,20,"Private","Some-college",10,"Never-married","White","Male",16,"<=50K"
"24907",24907,57,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"12778",12778,24,"Private","Bachelors",13,"Never-married","White","Male",15,"<=50K"
"11684",11684,28,"Private","Some-college",10,"Married-civ-spouse","White","Female",45,"<=50K"
"41286",41286,34,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"19094",19094,40,"Private","HS-grad",9,"Married-civ-spouse","White","Female",20,"<=50K"
"43491",43491,19,"State-gov","Some-college",10,"Never-married","White","Male",12,"<=50K"
"17314",17314,27,"Private","Some-college",10,"Never-married","White","Male",40,"<=50K"
"15733",15733,48,"?","HS-grad",9,"Married-civ-spouse","White","Male",48,">50K"
"17212",17212,42,"Private","HS-grad",9,"Divorced","White","Male",55,"<=50K"
"23240",23240,47,"Private","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"22300",22300,23,"Private","Some-college",10,"Never-married","White","Male",40,"<=50K"
"28745",28745,34,"Private","Some-college",10,"Married-civ-spouse","White","Male",48,">50K"
"31158",31158,29,"Private","HS-grad",9,"Married-civ-spouse","Black","Male",40,">50K"
"32889",32889,40,"Private","Bachelors",13,"Married-civ-spouse","White","Male",45,">50K"
"41220",41220,48,"Private","Some-college",10,"Divorced","White","Female",20,"<=50K"
"17500",17500,31,"Private","Bachelors",13,"Divorced","White","Male",45,"<=50K"
"25203",25203,27,"Private","Bachelors",13,"Never-married","White","Male",35,"<=50K"
"15743",15743,41,"Private","Assoc-acdm",12,"Married-civ-spouse","White","Male",40,">50K"
"28693",28693,25,"?","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"38819",38819,45,"Private","Doctorate",16,"Married-civ-spouse","White","Male",50,">50K"
"8119",8119,44,"Local-gov","Bachelors",13,"Married-civ-spouse","Black","Female",36,">50K"
"31368",31368,27,"Private","HS-grad",9,"Never-married","White","Male",35,"<=50K"
"25370",25370,37,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"37818",37818,23,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"14129",14129,41,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",63,"<=50K"
"12661",12661,35,"Self-emp-not-inc","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"9041",9041,26,"Private","10th",6,"Never-married","White","Male",40,"<=50K"
"40761",40761,35,"Private","Some-college",10,"Separated","White","Male",40,"<=50K"
"44652",44652,32,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"46934",46934,30,"Private","Bachelors",13,"Never-married","White","Male",42,"<=50K"
"44152",44152,19,"Private","Some-college",10,"Never-married","White","Male",50,"<=50K"
"38099",38099,34,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"44377",44377,33,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"8748",8748,53,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"42652",42652,34,"Private","Assoc-acdm",12,"Divorced","White","Male",50,">50K"
"27413",27413,22,"Private","Assoc-voc",11,"Never-married","White","Female",30,"<=50K"
"43773",43773,21,"Local-gov","Some-college",10,"Never-married","White","Female",4,"<=50K"
"31373",31373,21,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"47900",47900,42,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,">50K"
"11107",11107,30,"Self-emp-not-inc","Prof-school",15,"Married-civ-spouse","White","Male",55,"<=50K"
"45431",45431,27,"Private","11th",7,"Married-civ-spouse","White","Male",40,"<=50K"
"17421",17421,41,"Private","1st-4th",2,"Married-civ-spouse","White","Male",35,"<=50K"
"40839",40839,53,"Private","10th",6,"Divorced","White","Female",48,"<=50K"
"7902",7902,37,"Private","Some-college",10,"Married-civ-spouse","White","Male",50,">50K"
"39965",39965,58,"Private","Bachelors",13,"Divorced","White","Female",35,"<=50K"
"10965",10965,26,"Private","Some-college",10,"Never-married","White","Male",30,"<=50K"
"35651",35651,63,"Private","Bachelors",13,"Never-married","White","Male",40,">50K"
"29273",29273,76,"?","10th",6,"Married-civ-spouse","White","Male",40,"<=50K"
"39747",39747,56,"State-gov","HS-grad",9,"Widowed","Asian-Pac-Islander","Female",40,"<=50K"
"45069",45069,18,"Private","Some-college",10,"Never-married","White","Male",40,"<=50K"
"27917",27917,39,"Private","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"41734",41734,45,"Private","HS-grad",9,"Divorced","White","Male",40,"<=50K"
"28764",28764,34,"Private","Assoc-voc",11,"Never-married","White","Female",40,"<=50K"
"42136",42136,42,"Self-emp-not-inc","7th-8th",4,"Married-civ-spouse","White","Male",30,"<=50K"
"26063",26063,58,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",40,"<=50K"
"7393",7393,26,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"39162",39162,43,"Private","12th",8,"Married-civ-spouse","Black","Male",40,"<=50K"
"6589",6589,55,"Private","Doctorate",16,"Married-civ-spouse","White","Male",56,">50K"
"28900",28900,44,"Private","Some-college",10,"Separated","White","Female",40,"<=50K"
"5560",5560,23,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"30734",30734,49,"Self-emp-inc","Assoc-acdm",12,"Married-civ-spouse","White","Male",40,">50K"
"5849",5849,38,"Private","Masters",14,"Never-married","Black","Female",38,"<=50K"
"31605",31605,29,"Private","Masters",14,"Never-married","Black","Male",60,"<=50K"
